ID,CTYNAME,SEX,AGEGRP,IMPRACE,Asian,Black,Latino,Native American,Other,White,RESPOP,,
AM148,Anoka County,M,14,8,1,0,0,0,0,1,4,,
AM1411,Anoka County,M,14,11,1,1,0,0,0,0,1,,
AM1413,Anoka County,M,14,13,1,0,0,1,0,0,1,,
AM151,Anoka County,M,15,1,0,0,0,0,0,1,3428,,
AM152,Anoka County,M,15,2,0,1,0,0,0,0,28,,
AM153,Anoka County,M,15,3,0,0,0,1,0,0,16,,
AM154,Anoka County,M,15,4,1,0,0,0,0,0,60,,
AM155,Anoka County,M,15,5,0,0,0,0,1,0,1,,
AM156,Anoka County,M,15,6,0,0,0,0,0,0,1,,
AM157,Anoka County,M,15,7,0,0,0,1,0,1,7,,
AM158,Anoka County,M,15,8,1,0,0,0,0,1,1,,
AM1511,Anoka County,M,15,11,1,1,0,0,0,0,1,,
AM1521,Anoka County,M,15,21,1,0,0,0,1,1,1,,
AM161,Anoka County,M,16,1,0,0,0,0,0,1,2461,,
AM162,Anoka County,M,16,2,0,1,0,0,0,0,9,,
AM163,Anoka County,M,16,3,0,0,0,1,0,0,6,,
AM164,Anoka County,M,16,4,1,0,0,0,0,0,47,,
AM166,Anoka County,M,16,6,0,0,0,0,0,0,1,,
AM167,Anoka County,M,16,7,0,0,0,1,0,1,7,,
AM168,Anoka County,M,16,8,1,0,0,0,0,1,2,,
AM171,Anoka County,M,17,1,0,0,0,0,0,1,1528,,
AM172,Anoka County,M,17,2,0,1,0,0,0,0,11,,
AM173,Anoka County,M,17,3,0,0,0,1,0,0,1,,
AM174,Anoka County,M,17,4,1,0,0,0,0,0,13,,
AM177,Anoka County,M,17,7,0,0,0,1,0,1,3,,
AM178,Anoka County,M,17,8,1,0,0,0,0,1,1,,
AM1726,Anoka County,M,17,26,1,1,0,1,0,1,1,,
AM181,Anoka County,M,18,1,0,0,0,0,0,1,967,,
AM182,Anoka County,M,18,2,0,1,0,0,0,0,8,,
AM183,Anoka County,M,18,3,0,0,0,1,0,0,2,,
AM184,Anoka County,M,18,4,1,0,0,0,0,0,15,,
AM187,Anoka County,M,18,7,0,0,0,1,0,1,3,,
AM11,Anoka County,M,1,1,0,0,1,0,0,1,655,,
AM12,Anoka County,M,1,2,0,1,1,0,0,0,23,,
AM13,Anoka County,M,1,3,0,0,1,1,0,0,40,,
AM14,Anoka County,M,1,4,1,0,1,0,0,0,13,,
AM15,Anoka County,M,1,5,0,0,1,0,1,0,5,,
AM16,Anoka County,M,1,6,0,0,1,0,0,0,21,,
AM17,Anoka County,M,1,7,0,0,1,1,0,1,15,,
AM18,Anoka County,M,1,8,1,0,1,0,0,1,18,,
AM19,Anoka County,M,1,9,0,0,1,0,1,1,1,,
AM110,Anoka County,M,1,10,0,1,1,1,0,0,6,,
AM116,Anoka County,M,1,16,0,1,1,1,0,1,8,,
AM117,Anoka County,M,1,17,1,1,1,0,0,1,2,,
AM119,Anoka County,M,1,19,0,0,1,1,0,1,1,,
AM21,Anoka County,M,2,1,0,0,1,0,0,1,640,,
AM22,Anoka County,M,2,2,0,1,1,0,0,0,27,,
AM23,Anoka County,M,2,3,0,0,1,1,0,0,43,,
AM24,Anoka County,M,2,4,1,0,1,0,0,0,6,,
AM26,Anoka County,M,2,6,0,0,1,0,0,0,19,,
AM27,Anoka County,M,2,7,0,0,1,1,0,1,21,,
AM28,Anoka County,M,2,8,1,0,1,0,0,1,11,,
AM29,Anoka County,M,2,9,0,0,1,0,1,1,1,,
AM210,Anoka County,M,2,10,0,1,1,1,0,0,3,,
AM211,Anoka County,M,2,11,1,1,1,0,0,0,2,,
AM216,Anoka County,M,2,16,0,1,1,1,0,1,1,,
